
KI-10 simulator Open SIMH V4.1-0 Current        git commit id: a483514b+uncommitted-changes
Memory size changed: CPU0 = 512KW
/tmp/claude-1000/-home-deltaprism-arpanet/ef23d23f-4517-4df6-a113-1c4da8dc08db/scratchpad/offline-exam/offline-exam.do-4> restore -F /tmp/claude-1000/-home-deltaprism-arpanet/ef23d23f-4517-4df6-a113-1c4da8dc08db/scratchpad/offline-exam/host69-live.state
%SIM-INFO: LPT: creating new file
%SIM-ERROR: MTA0: Can't open 'media/system.tap': No such file or directory
Error Attaching MTA to media/system.tap
===SCALARS===
70203:	000000000000
70204:	777777777777
70221:	000000000000
70347:	000000402217
61251:	000001771735
70650:	000000000000
131074:	000000000070
===IMPLT1 71030-71227===
71030:	000000200000
71031:	000000600000
71032:	000000600000
71033:	000000600000
71034:	000000600000
71035:	000000600000
71036:	000000600000
71037:	000000600000
71040:	000000600000
71041:	000000600000
71042:	000000600000
71043:	000000600000
71044:	000000600000
71045:	000000600000
71046:	000000600000
71047:	000000600000
71050:	000000600000
71051:	000000200000
71052:	000000600000
71053:	000000600000
71054:	000000200000
71055:	000000200000
71056:	000000600000
71057:	000000600000
71060:	000000200000
71061:	000000600000
71062:	000000600000
71063:	000000200000
71064:	000000600000
71065:	000000600000
71066:	000000600000
71067:	000000200000
71070:	000000600000
71071:	000000600000
71072:	000000200000
71073:	000000600000
71074:	000000600000
71075:	000000600000
71076:	000000200000
71077:	000000600000
71100:	000000600000
71101:	000000200000
71102:	000000600000
71103:	000000600000
71104:	000000600000
71105:	000000600000
71106:	000000600000
71107:	000000600000
71110:	000000600000
71111:	000000600000
71112:	000000600000
71113:	000000600000
71114:	000000600000
71115:	000000600000
71116:	000000600000
71117:	000000600000
71120:	000000600000
71121:	000000600000
71122:	000000200000
71123:	000000600000
71124:	000000600000
71125:	000000600000
71126:	000000200000
71127:	000000600000
71130:	000000600000
71131:	000000200000
71132:	000000600000
71133:	000000600000
71134:	000000600000
71135:	000000200000
71136:	000000600000
71137:	000000600000
71140:	000000200000
71141:	000000600000
71142:	000000600000
71143:	000000600000
71144:	000000200000
71145:	000000600000
71146:	000000600000
71147:	000000200000
71150:	000000600000
71151:	000000600000
71152:	000000600000
71153:	000000200000
71154:	000000600000
71155:	000000600000
71156:	000000600000
71157:	000000600000
71160:	000000600000
71161:	000000600000
71162:	000000600000
71163:	000000600000
71164:	000000600000
71165:	000000600000
71166:	000000600000
71167:	000000600000
71170:	000000600000
71171:	000000600000
71172:	000000600000
71173:	000000600000
71174:	000000600000
71175:	000000600000
71176:	000000600000
71177:	000000200000
71200:	000000600000
71201:	000000600000
71202:	000000600000
71203:	000000200000
71204:	000000600000
71205:	000000600000
